,productID,productCode,modelID
0,86474,41055M034001,318
1,86474,41055M034001,323
2,86474,41055M034001,348
3,86507,41001F085002,329
4,86510,41001F126001,69
5,86554,41001M040002,326
6,86556,41001M040004,102
7,86560,41001M036002,102
8,86590,41001M036005,139
9,86591,41001M028001,139
10,86604,41001M038004,139
12,86623,41001M044001,102
13,86624,41001M044002,102
14,86671,41380M042001,102
15,86672,41380M042002,102
16,86673,41380M042003,102
17,86678,41380M038001,310
18,86679,41380M038002,3
19,86682,41380M053001,310
20,86685,41380M021003,102
23,86713,41092M021001,322
24,86714,41092M053001,102
25,86768,41148M021001,3
26,86768,41148M021001,348
27,86769,41148M021002,3
28,86769,41148M021002,348
31,86771,41148M021004,139
32,86772,41148M021005,3
33,86772,41148M021005,310
34,86772,41148M021005,348
37,86774,41148M021007,3
38,86774,41148M021007,348
39,86775,41148M021008,3
40,86775,41148M021008,348
41,86776,41148M021009,3
42,86776,41148M021009,348
43,86777,41148M040001,3
44,86777,41148M040001,348
45,86778,41148M040002,139
47,86781,41148M040005,3
48,86781,41148M040005,348
49,86782,41148M040006,3
50,86782,41148M040006,348
51,86783,41148M040007,3
52,86783,41148M040007,348
53,86784,41148M040008,3
54,86784,41148M040008,348
55,86785,41148M040009,3
56,86785,41148M040009,348
57,86787,41148M040011,102
58,86787,41148M040011,139
61,86791,41148M041004,3
62,86791,41148M041004,348
63,86793,41148M041006,139
64,86794,41148M041007,139
65,86795,41148M044001,3
66,86795,41148M044001,348
67,86797,41148M042002,3
68,86797,41148M042002,348
69,86799,41148M055001,3
70,86799,41148M055001,348
71,86800,41148M055002,3
72,86800,41148M055002,348
73,86801,41148M032001,3
74,86801,41148M032001,348
75,86802,41148M032002,3
76,86802,41148M032002,348
77,86803,41148M030001,3
78,86803,41148M030001,348
81,86805,41148M045002,3
82,86805,41148M045002,348
83,86806,41148M045003,102
84,86806,41148M045003,139
85,86807,41148M038001,3
86,86807,41148M038001,348
87,86808,41148M038002,139
88,86809,41148M035001,139
91,86811,41148M036002,3
92,86811,41148M036002,348
95,86813,41148M028002,139
102,86818,41148M055003,3
103,86818,41148M055003,348
104,86819,41148M055004,3
105,86819,41148M055004,348
108,86821,41148M055005,3
109,86821,41148M055005,348
110,86822,41148M053002,3
111,86822,41148M053002,348
112,86823,41148M055006,3
113,86823,41148M055006,348
115,86874,41114M021002,102
116,86874,41114M021002,322
118,86885,41055F112001,351
119,86887,41260M057001,323
120,86888,41260M036001,102
121,86893,41260M036002,102
123,86899,41260M040003,310
124,86900,41260M055002,323
128,86902,41381M045001,364
130,86904,41381M028002,326
131,86904,41381M028002,363
132,86905,41381M028003,326
133,86906,41381M028004,326
134,86906,41381M028004,364
136,86908,41381M030003,102
137,86908,41381M030003,364
138,86909,41381M051001,102
139,86909,41381M051001,326
140,86909,41381M051001,364
141,86910,41381M051002,326
145,86913,41381M040001,102
146,86913,41381M040001,364
147,86915,41381M040003,364
150,86918,41381M040006,102
151,86918,41381M040006,364
153,86921,41381M040009,102
154,86922,41381M040010,102
155,86922,41381M040010,364
156,86923,41381M040011,102
157,86923,41381M040011,364
160,86926,41381M038002,326
166,86931,41381M055002,326
168,86934,41381M041001,139
169,86934,41381M041001,326
170,86934,41381M041001,363
171,86935,41381M041002,326
174,86995,41368M032001,139
175,87000,41368M045003,139
176,87000,41368M045003,310
177,87001,41368M045004,139
179,87011,41368M028001,102
180,87012,41368M041002,139
181,87015,41368M041003,139
183,87024,41368M038005,139
184,87030,41368M051001,102
185,87031,41368M051002,102
187,87059,41254M041002,322
188,87060,41254M036002,3
189,87060,41254M036002,322
190,87062,41254M042001,322
191,87065,41254M041005,322
192,87066,41254M041006,322
193,87067,41254M055003,323
194,87067,41254M055003,326
195,87068,41254M041007,322
196,87069,41254M038001,322
197,87070,41254M030002,322
198,87071,41254M032001,323
201,87154,41259M036001,3
202,87154,41259M036001,102
203,87154,41259M036001,348
204,87158,41259M036002,3
205,87158,41259M036002,102
206,87158,41259M036002,348
207,87169,41259M041003,102
208,87169,41259M041003,326
209,87169,41259M041003,348
210,87171,41259M030001,102
211,87171,41259M030001,348
214,87201,41259M041009,102
215,87201,41259M041009,348
216,87203,41259M014002,318
217,87203,41259M014002,326
218,87203,41259M014002,348
219,87204,41259M014003,318
220,87204,41259M014003,326
221,87204,41259M014003,348
225,87206,41259M041010,102
226,87206,41259M041010,348
227,87214,41259M040004,102
228,87214,41259M040004,348
229,87223,41259M014005,318
230,87223,41259M014005,326
231,87223,41259M014005,348
232,87224,41259M014006,102
233,87224,41259M014006,326
234,87224,41259M014006,348
235,87225,41259M014007,102
236,87225,41259M014007,326
237,87225,41259M014007,348
238,87226,41259M014008,102
239,87226,41259M014008,326
240,87226,41259M014008,348
244,87279,41278M045001,102
245,87279,41278M045001,348
246,87279,41278M045001,355
247,87281,41278M036001,3
248,87281,41278M036001,102
250,87284,41278M036002,102
252,87287,41278M040003,102
253,87288,41278M040004,102
